"","Mean_comp_count","Class","Mean_fil_ind","Med_fil_ind","Mean_density","Med_density","Mean_area","Med_area","Mean_comp_count_alt","Med_comp_count_alt","Mean_distance","Med_distance"
"1",1.18181818181818,1,3.89677777777778,3.736,0.583484848484848,0.699,0.532080808080808,0.569,15.8484848484848,14,529.096416422605,375.190923274924
"2",1.67676767676768,1,3.28517171717172,2.654,0.582737373737374,0.732,0.549906584848485,0.63,23.5959595959596,15,797.695266457785,670.781853580555
"3",2.36363636363636,1,4.53990909090909,4.913,0.578848484848485,0.633,0.503020202020202,0.471,29.5252525252525,27,1179.80787953173,1178.53829398751
"4",0.808080808080808,1,1.92285858585859,2.277,0.601575757575758,0.883,0.605207521212121,0.845,3.93939393939394,1,47.2905387833477,0
"5",1.47474747474747,1,4.84119191919192,4.352,0.617828282828283,0.714,0.561535353535354,0.585,12.5454545454545,13,294.394553804333,221.713151164586
"6",1.72727272727273,1,4.36025252525253,4.106,0.543515151515152,0.588,0.482919191919192,0.435,18.2727272727273,21,627.086484741436,741.29984118887
"7",1.61616161616162,1,5.29528282828283,4.431,0.571343434343434,0.625,0.489292929292929,0.448,18.4040404040404,20,661.149433127705,646.011232324028
"8",1.65656565656566,1,3.53415151515152,3.699,0.513282828282828,0.522,0.45838381010101,0.378,16.5555555555556,16,480.318071989365,306.481941801252
"9",1.24242424242424,1,4.5429696969697,3.657,0.594737373737374,0.72,0.538078072727273,0.584,14.6060606060606,12,384.37815320472,266.239358513951
"10",1.06060606060606,1,7.06734343434343,5.206,0.645464646464646,0.785,0.601,0.689,8.19191919191919,5,254.640113906527,227.591644218211
"11",1.34343434343434,1,3.91236363636364,4.179,0.615454545454545,0.785,0.564363636363636,0.661,9.15151515151515,8,232.978568703792,259.077908065924
"12",1.75757575757576,1,4.0079797979798,3.89,0.567646464646465,0.664,0.518717171717172,0.541,16.7676767676768,11,542.100142402382,393.182979000144
"13",1,1,4.43024242424242,4.651,0.519767676767677,0.531,0.470299038383838,0.395,9.47474747474747,8,311.240261513519,224.436939065992
"14",1.02020202020202,1,3.16431313131313,2.884,0.575747474747475,0.71,0.536848484848485,0.591,13.4040404040404,9,335.02180630764,282.339048020008
"15",1.81818181818182,1,2.95768686868687,2.164,0.617151515151515,0.774,0.584070707070707,0.685,18.040404040404,11,566.563505275507,482.157994316672
"16",1.65656565656566,1,3.56283838383838,3.67,0.600141414141414,0.713,0.545933704040404,0.58,19.040404040404,20,575.438891628113,562.037593389128
"17",1.80808080808081,1,3.85144444444444,4.075,0.629181818181818,0.807,0.587515151515152,0.71,18.2929292929293,12,504.282463949371,414.790186419793
"18",1.1010101010101,1,2.97281818181818,3.371,0.498808080808081,0.487,0.475062246464646,0.371,8.42424242424242,3,212.532806924244,161.277477154673
"19",1.26262626262626,1,3.96008080808081,4.289,0.577585858585859,0.677,0.522040404040404,0.536,16.8989898989899,14,497.573202139155,377.207975228423
"20",1.55555555555556,1,3.66087878787879,3.974,0.610222222222222,0.76,0.557123816161616,0.629,20.5858585858586,15,603.416868987377,469.368192183302
"21",2.66666666666667,1,4.163,3.613,0.52220202020202,0.526,0.466073570707071,0.383,32.7272727272727,27,1343.28655609716,1245.17007212477
"22",1.97979797979798,1,5.37284848484849,5.117,0.501818181818182,0.457,0.435732454545455,0.308,28.9393939393939,24,1183.96348630826,1269.22104335335
"23",1.34343434343434,1,2.79216161616162,2.199,0.675747474747475,0.906,0.651959595959596,0.858,14.3535353535354,7,345.298133098976,188.772816261021
"24",2.38383838383838,1,2.79431313131313,2.2,0.416676767676768,0.283,0.384526331313131,0.184,34.4848484848485,17,1510.82659944026,1158.67627363925
"25",1.19191919191919,1,2.86886868686869,2.804,0.663848484848485,0.872,0.632242424242424,0.792,9.67676767676768,5,194.138687268909,71.1134237688694
"26",1.57575757575758,1,2.53985858585859,2.133,0.586141414141414,0.7,0.551024757575758,0.594,13.4343434343434,8,328.563943032331,214.524232487804
"27",1.24242424242424,1,4.25518181818182,3.731,0.594878787878788,0.692,0.540080808080808,0.561,16.0606060606061,15,489.871612619032,480.924998669439
"28",1.77777777777778,1,3.72883838383838,2.288,0.548333333333333,0.567,0.503131313131313,0.444,19.8989898989899,12,656.415440257949,521.438949951817
"29",1.29292929292929,1,3.41913131313131,3.773,0.595,0.739,0.553282828282828,0.624,12.3838383838384,8,285.431315920266,162.138639744661
"30",1.5985401459854,1,3.47249635036496,5.196,0.411306569343066,0.282,1.09392700729927,0.834,48.5858585858586,48,2674.81817476866,2886.30956284121
"31",1.26262626262626,1,4.30317171717172,3.671,0.595181818181818,0.706,0.540747474747475,0.571,13.3333333333333,10,441.581517004246,361.918892866818
"32",1.1010101010101,1,4.57770707070707,3.892,0.494393939393939,0.431,0.457127017171717,0.317,10.5757575757576,8,292.832420677089,179.31764212795
"33",2.05050505050505,1,4.16060606060606,4.249,0.458565656565657,0.394,0.383656565656566,0.231,30.1616161616162,27,1035.57329654249,1075.72238504624
"34",1.08080808080808,1,2.87848484848485,2.061,0.598272727272727,0.772,0.57620202020202,0.692,7.86868686868687,4,173.999367232592,97.2719722646942
"35",1.09090909090909,1,3.53945454545455,2.988,0.507787878787879,0.529,0.462268406060606,0.396,7.55555555555556,8,147.871156069481,83.9796066961567
"36",1.09090909090909,1,2.41837373737374,2.183,0.583454545454545,0.752,0.566311339393939,0.667,11.1818181818182,4,265.405800190084,91.8611251495389
"37",0.727272727272727,1,2.90020202020202,3.38,0.578525252525253,0.81,0.567624146464646,0.746,3.85858585858586,1,53.980337842971,1.11803398874989
"38",0.585858585858586,1,2.35837373737374,3.344,0.498959595959596,0.551,0.490111111111111,0.45,2.51515151515152,2,13.7922537042191,1.11803398874989
"39",1.65656565656566,1,2.9989595959596,3.512,0.420959595959596,0.27,0.372075370707071,0.166,22.020202020202,18,805.391479598557,663.248417784169
"40",0.888888888888889,1,2.33810101010101,2.682,0.537131313131313,0.647,0.509862877777778,0.537,8.82828282828283,5,168.008076779519,109.077398237215
"41",1.13131313131313,1,2.93047474747475,2.886,0.522282828282828,0.601,0.493537842424242,0.487,17.0505050505051,13,475.674518318251,391.019497072379
"42",0.838383838383838,1,3.03153535353535,2.855,0.578292929292929,0.73,0.560900432323232,0.646,6.64646464646465,1,95.3338629496467,0
"43",1.07070707070707,1,2.68129292929293,2.602,0.570010101010101,0.715,0.547109528282828,0.632,11.6868686868687,3,311.870336641415,95.8263314867074
"44",1.02020202020202,1,2.96393939393939,2.276,0.599656565656566,0.779,0.575181264646465,0.685,13.6767676767677,7,280.554605664977,137.99530312549
"45",1.8989898989899,1,3.3249898989899,3.598,0.468565656565657,0.401,0.41707655959596,0.278,24.5252525252525,20,906.940342129572,804.558204987906
"46",2.08080808080808,1,3.84667676767677,4.467,0.626646464646465,0.807,0.593714906060606,0.711,33.3434343434343,19,1113.89401916762,937.400915418459
"47",0.888888888888889,1,2.54133333333333,2.5,0.523757575757576,0.568,0.497686868686869,0.468,6.71717171717172,4,101.263027506145,68.0654439584982
